Ages Used,Actual Height at 18,Predicted Height at 18,MAE
"(10.0, 11.0, 16.0)",172.5786765,175.2040441,3.679779412
"(10.0, 11.0, 16.0, 17.0)",172.5786765,174.5742647,2.600735294
"(10.0, 11.0, 17.0)",172.5786765,174.8676471,2.769852941
"(10.0, 12.0)",172.5786765,179.0658088,7.573897059
"(10.0, 12.0, 13.0)",172.5786765,179.4908088,7.940808824
"(10.0, 12.0, 13.0, 14.0)",172.5786765,178.9205882,7.147058824
"(10.0, 12.0, 13.0, 14.0, 15.0)",172.5786765,176.7661765,4.947058824
"(10.0, 12.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.3224265,3.290808824
"(10.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.7632353,2.591176471
"(10.0, 12.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,174.9261029,2.728308824
"(10.0, 12.0, 13.0, 14.0, 16.0)",172.5786765,175.35625,3.345955882
"(10.0, 12.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.7852941,2.630147059
"(10.0, 12.0, 13.0, 14.0, 17.0)",172.5786765,175.0316176,2.849264706
"(10.0, 12.0, 13.0, 15.0)",172.5786765,176.4713235,4.713235294
"(10.0, 12.0, 13.0, 15.0, 16.0)",172.5786765,175.2544118,3.271323529
"(10.0, 12.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.7275735,2.565073529
"(10.0, 12.0, 13.0, 15.0, 17.0)",172.5786765,174.9007353,2.707352941
"(10.0, 12.0, 13.0, 16.0)",172.5786765,175.3161765,3.475
"(10.0, 12.0, 13.0, 16.0, 17.0)",172.5786765,174.7599265,2.673161765
"(10.0, 12.0, 13.0, 17.0)",172.5786765,175.0772059,2.9125
"(10.0, 12.0, 14.0)",172.5786765,179.1889706,7.4625
"(10.0, 12.0, 14.0, 15.0)",172.5786765,177.0492647,5.233823529
"(10.0, 12.0, 14.0, 15.0, 16.0)",172.5786765,175.2632353,3.231617647
"(10.0, 12.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.6694853,2.511397059
"(10.0, 12.0, 14.0, 15.0, 17.0)",172.5786765,174.84375,2.653308824
"(10.0, 12.0, 14.0, 16.0)",172.5786765,175.2845588,3.282352941
"(10.0, 12.0, 14.0, 16.0, 17.0)",172.5786765,174.6930147,2.559926471
"(10.0, 12.0, 14.0, 17.0)",172.5786765,174.9323529,2.740441176
"(10.0, 12.0, 15.0)",172.5786765,176.95,5.381617647
"(10.0, 12.0, 15.0, 16.0)",172.5786765,175.1875,3.255882353
"(10.0, 12.0, 15.0, 16.0, 17.0)",172.5786765,174.5952206,2.454779412
"(10.0, 12.0, 15.0, 17.0)",172.5786765,174.7610294,2.597058824
"(10.0, 12.0, 16.0)",172.5786765,175.1551471,3.509558824
"(10.0, 12.0, 16.0, 17.0)",172.5786765,174.61875,2.580514706
"(10.0, 12.0, 17.0)",172.5786765,174.9536765,2.827941176
"(10.0, 13.0)",172.5786765,179.05,7.627205882
"(10.0, 13.0, 14.0)",172.5786765,178.4731618,6.741544118
"(10.0, 13.0, 14.0, 15.0)",172.5786765,176.3856618,4.559191176
"(10.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.1246324,3.090073529
"(10.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.5647059,2.393382353
"(10.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,174.7073529,2.513970588
"(10.0, 13.0, 14.0, 16.0)",172.5786765,175.1022059,3.109558824
"(10.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.5915441,2.452573529
"(10.0, 13.0, 14.0, 17.0)",172.5786765,174.8139706,2.626470588
"(10.0, 13.0, 15.0)",172.5786765,176.1801471,4.455882353
"(10.0, 13.0, 15.0, 16.0)",172.5786765,175.0345588,3.030147059
"(10.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.5095588,2.327205882
"(10.0, 13.0, 15.0, 17.0)",172.5786765,174.6794118,2.472794118
"(10.0, 13.0, 16.0)",172.5786765,175.0444853,3.213602941
"(10.0, 13.0, 16.0, 17.0)",172.5786765,174.5268382,2.437132353
"(10.0, 13.0, 17.0)",172.5786765,174.7871324,2.63125
"(10.0, 14.0)",172.5786765,179.0242647,7.505882353
"(10.0, 14.0, 15.0)",172.5786765,176.6551471,4.874264706
"(10.0, 14.0, 15.0, 16.0)",172.5786765,175.0246324,2.995955882
"(10.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.4161765,2.244117647
"(10.0, 14.0, 15.0, 17.0)",172.5786765,174.5496324,2.351838235
"(10.0, 14.0, 16.0)",172.5786765,175.0147059,3.047794118
"(10.0, 14.0, 16.0, 17.0)",172.5786765,174.4268382,2.262867647
"(10.0, 14.0, 17.0)",172.5786765,174.6095588,2.402941176
"(10.0, 15.0)",172.5786765,177.5238971,6.170955882
"(10.0, 15.0, 16.0)",172.5786765,175.0183824,3.118382353
"(10.0, 15.0, 16.0, 17.0)",172.5786765,174.3,2.146323529
"(10.0, 15.0, 17.0)",172.5786765,174.4014706,2.227205882
"(10.0, 16.0)",172.5786765,174.9205882,3.477205882
"(10.0, 16.0, 17.0)",172.5786765,174.2246324,2.233455882
"(10.0, 17.0)",172.5786765,174.4397059,2.350735294
"(10.0,)",172.5786765,179.1264706,7.6375
"(11.0, 12.0)",172.5786765,179.6356618,8.111397059
"(11.0, 12.0, 13.0)",172.5786765,180.0415441,8.477573529
"(11.0, 12.0, 13.0, 14.0)",172.5786765,179.6356618,7.848897059
"(11.0, 12.0, 13.0, 14.0, 15.0)",172.5786765,177.1889706,5.344852941
"(11.0, 12.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.4393382,3.397426471
"(11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.8132353,2.645588235
"(11.0, 12.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,175.0014706,2.800735294
"(11.0, 12.0, 13.0, 14.0, 16.0)",172.5786765,175.46875,3.458455882
"(11.0, 12.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.8566176,2.714705882
"(11.0, 12.0, 13.0, 14.0, 17.0)",172.5786765,175.0963235,2.905882353
"(11.0, 12.0, 13.0, 15.0)",172.5786765,176.7948529,5.067647059
"(11.0, 12.0, 13.0, 15.0, 16.0)",172.5786765,175.3639706,3.363235294
"(11.0, 12.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.7908088,2.629779412
"(11.0, 12.0, 13.0, 15.0, 17.0)",172.5786765,174.9658088,2.772426471
"(11.0, 12.0, 13.0, 16.0)",172.5786765,175.4088235,3.580147059
"(11.0, 12.0, 13.0, 16.0, 17.0)",172.5786765,174.8367647,2.745588235
"(11.0, 12.0, 13.0, 17.0)",172.5786765,175.1694853,3.001102941
"(11.0, 12.0, 14.0)",172.5786765,179.7808824,8.061764706
"(11.0, 12.0, 14.0, 15.0)",172.5786765,177.4301471,5.586764706
"(11.0, 12.0, 14.0, 15.0, 16.0)",172.5786765,175.4018382,3.359191176
"(11.0, 12.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.7264706,2.5625
"(11.0, 12.0, 14.0, 15.0, 17.0)",172.5786765,174.9224265,2.719485294
"(11.0, 12.0, 14.0, 16.0)",172.5786765,175.3904412,3.397058824
"(11.0, 12.0, 14.0, 16.0, 17.0)",172.5786765,174.7466912,2.604779412
"(11.0, 12.0, 14.0, 17.0)",172.5786765,175.0154412,2.820588235
"(11.0, 12.0, 15.0)",172.5786765,177.3084559,5.732720588
"(11.0, 12.0, 15.0, 16.0)",172.5786765,175.2852941,3.351470588
"(11.0, 12.0, 15.0, 16.0, 17.0)",172.5786765,174.6702206,2.527573529
"(11.0, 12.0, 15.0, 17.0)",172.5786765,174.8426471,2.686764706
"(11.0, 12.0, 16.0)",172.5786765,175.2768382,3.613602941
"(11.0, 12.0, 16.0, 17.0)",172.5786765,174.6849265,2.665073529
"(11.0, 12.0, 17.0)",172.5786765,175.0430147,2.910661765
"(11.0, 13.0)",172.5786765,179.7352941,8.295588235
"(11.0, 13.0, 14.0)",172.5786765,179.3264706,7.556617647
"(11.0, 13.0, 14.0, 15.0)",172.5786765,176.8658088,4.998161765
"(11.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.2268382,3.194485294
"(11.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.6305147,2.457720588
"(11.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,174.7852941,2.580882353
"(11.0, 13.0, 14.0, 16.0)",172.5786765,175.2283088,3.242279412
"(11.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.6544118,2.503676471
"(11.0, 13.0, 14.0, 17.0)",172.5786765,174.8816176,2.684558824
"(11.0, 13.0, 15.0)",172.5786765,176.6180147,4.91875
"(11.0, 13.0, 15.0, 16.0)",172.5786765,175.1503676,3.134926471
"(11.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.59375,2.416544118
"(11.0, 13.0, 15.0, 17.0)",172.5786765,174.7639706,2.547794118
"(11.0, 13.0, 16.0)",172.5786765,175.1474265,3.318014706
"(11.0, 13.0, 16.0, 17.0)",172.5786765,174.6224265,2.518014706
"(11.0, 13.0, 17.0)",172.5786765,174.9073529,2.747058824
"(11.0, 14.0)",172.5786765,179.5926471,8.056617647
"(11.0, 14.0, 15.0)",172.5786765,177.1941176,5.377205882
"(11.0, 14.0, 15.0, 16.0)",172.5786765,175.1610294,3.127205882
"(11.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.5099265,2.323161765
"(11.0, 14.0, 15.0, 17.0)",172.5786765,174.6632353,2.466176471
"(11.0, 14.0, 16.0)",172.5786765,175.1360294,3.1625
"(11.0, 14.0, 16.0, 17.0)",172.5786765,174.5139706,2.346323529
"(11.0, 14.0, 17.0)",172.5786765,174.7286765,2.516911765
"(11.0, 15.0)",172.5786765,177.6849265,6.283455882
"(11.0, 15.0, 16.0)",172.5786765,175.1205882,3.185294118
"(11.0, 15.0, 16.0, 17.0)",172.5786765,174.4169118,2.253676471
"(11.0, 15.0, 17.0)",172.5786765,174.5404412,2.352205882
"(11.0, 16.0)",172.5786765,174.9323529,3.461029412
"(11.0, 16.0, 17.0)",172.5786765,174.3492647,2.357352941
"(11.0, 17.0)",172.5786765,174.6283088,2.542279412
"(11.0,)",172.5786765,179.6588235,8.230882353
"(12.0, 13.0)",172.5786765,180.5481618,9.085661765
"(12.0, 13.0, 14.0)",172.5786765,179.5007353,7.749264706
"(12.0, 13.0, 14.0, 15.0)",172.5786765,176.6665441,4.812132353
"(12.0, 13.0, 14.0, 15.0, 16.0)",172.5786765,175.1694853,3.126102941
"(12.0, 13.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.6007353,2.425735294
"(12.0, 13.0, 14.0, 15.0, 17.0)",172.5786765,174.7459559,2.550367647
"(12.0, 13.0, 14.0, 16.0)",172.5786765,175.1834559,3.173161765
"(12.0, 13.0, 14.0, 16.0, 17.0)",172.5786765,174.6415441,2.468014706
"(12.0, 13.0, 14.0, 17.0)",172.5786765,174.8261029,2.615808824
"(12.0, 13.0, 15.0)",172.5786765,176.2360294,4.527941176
"(12.0, 13.0, 15.0, 16.0)",172.5786765,175.0933824,3.098529412
"(12.0, 13.0, 15.0, 16.0, 17.0)",172.5786765,174.5753676,2.401838235
"(12.0, 13.0, 15.0, 17.0)",172.5786765,174.7139706,2.521323529
"(12.0, 13.0, 16.0)",172.5786765,175.0779412,3.279411765
"(12.0, 13.0, 16.0, 17.0)",172.5786765,174.5970588,2.491176471
"(12.0, 13.0, 17.0)",172.5786765,174.8768382,2.678308824
"(12.0, 14.0)",172.5786765,179.6643382,8.094485294
"(12.0, 14.0, 15.0)",172.5786765,176.8301471,4.983823529
"(12.0, 14.0, 15.0, 16.0)",172.5786765,175.04375,3.029044118
"(12.0, 14.0, 15.0, 16.0, 17.0)",172.5786765,174.5047794,2.339338235
"(12.0, 14.0, 15.0, 17.0)",172.5786765,174.6316176,2.438235294
"(12.0, 14.0, 16.0)",172.5786765,175.0632353,3.093382353
"(12.0, 14.0, 16.0, 17.0)",172.5786765,174.5261029,2.359926471
"(12.0, 14.0, 17.0)",172.5786765,174.7091912,2.488602941
"(12.0, 15.0)",172.5786765,176.5525735,5.279044118
"(12.0, 15.0, 16.0)",172.5786765,174.9705882,3.011764706
"(12.0, 15.0, 16.0, 17.0)",172.5786765,174.4397059,2.275735294
"(12.0, 15.0, 17.0)",172.5786765,174.5724265,2.391544118
"(12.0, 16.0)",172.5786765,174.8658088,3.345955882
"(12.0, 16.0, 17.0)",172.5786765,174.4444853,2.383455882
