,child_id,ATV_8,ATV_9,ATV_10,ATV_11,ATV_12,ATV_13,ATV_14,ATV_15,ATV_16,ATV_17,ATV_18,ATT_8,ATT_9,ATT_10,ATT_11,ATT_12,ATT_13,ATT_14,ATT_15,ATT_16,ATT_17,ATT_18
38,1000002725,1307.5,1344.9999999999995,1405.0000000000002,1472.4999999999998,1547.5,1571.2499999999995,1576.250000000001,1585.4999999999998,1626.5000000000002,1676.9999999999982,1582.250000000001,317.5000000000001,351.2499999999999,402.5000000000001,463.7499999999998,504.0000000000002,542.7500000000002,549.2500000000002,593.9999999999998,606.5000000000002,661.7499999999986,603.2500000000001
39,1000002727,1358.4615384615379,1416.3636363636356,1476.666666666667,1535.0000000000005,1605.0000000000007,1663.6363636363635,1703.3333333333335,1723.333333333333,1737.0769230769224,1718.6363636363635,1745.6666666666665,283.8461538461536,323.1818181818181,363.3333333333337,409.3333333333335,453.84615384615404,535.7272727272732,603.3333333333333,604.6666666666667,602.3076923076922,646.363636363636,701.3333333333331
40,1000002728,1249.9999999999993,1297.3333333333333,1353.0,1418.3333333333335,1485.999999999999,1543.666666666666,1582.0000000000002,1597.6666666666663,1600.666666666667,1603.9999999999998,1610.0,234.9999999999999,263.99999999999994,294.6666666666668,335.66666666666686,378.33333333333314,421.99999999999915,468.66666666666663,491.9999999999997,521.6666666666669,527.6666666666665,542.6666666666664
41,1000002732,1296.666666666666,1353.333333333333,1397.6666666666672,1453.3333333333335,1513.9999999999993,1564.6666666666656,1593.6666666666665,1609.3333333333335,1606.666666666667,1603.333333333333,1613.3333333333335,269.99999999999983,311.66666666666663,345.0000000000001,377.33333333333354,409.33333333333314,441.66666666666583,485.33333333333326,520.6666666666667,554.0000000000001,550.9999999999999,552.6666666666669
42,1000002733,1337.666666666666,1416.9999999999995,1475.000000000001,1513.333333333334,1578.3333333333326,1653.3333333333326,1699.9999999999995,1725.666666666667,1739.6666666666674,1745.6666666666667,1747.3333333333333,343.3333333333331,401.6666666666664,450.0000000000003,435.0000000000001,486.66666666666663,536.6666666666665,569.9999999999999,590.0000000000002,559.6666666666669,585.6666666666666,600.0
43,1000002735,1279.2307692307688,1324.9999999999995,1376.6666666666674,1438.1818181818187,1496.9230769230765,1551.666666666666,1585.0000000000002,1609.7272727272718,1619.1538461538462,1620.666666666666,1629.9999999999998,334.92307692307685,367.9999999999999,395.0000000000001,503.18181818181847,609.2307692307692,576.6666666666662,623.3333333333331,633.9999999999998,607.1538461538462,605.3333333333331,608.6666666666666
45,1000002743,1375.4166666666677,1384.166666666667,1458.333333333333,1540.4166666666674,1602.0833333333335,1628.9999999999989,1640.0833333333333,1650.5833333333326,1670.5833333333333,1672.4999999999995,1673.5000000000005,332.49999999999994,362.9166666666668,403.08333333333314,475.6666666666672,549.416666666667,589.3333333333334,587.9166666666661,615.8333333333339,687.1666666666657,658.8333333333329,660.0000000000002
47,1000002747,1285.0000000000002,1318.5000000000002,1373.4999999999998,1458.5,1521.0000000000002,1570.0000000000002,1599.9999999999995,1606.4999999999995,1599.5000000000005,1605.4999999999998,1616.4999999999998,272.50000000000017,307.50000000000006,347.5000000000001,397.49999999999994,450.0000000000003,500.0000000000001,520.0000000000001,536.9999999999999,540.0000000000005,539.0000000000002,556.9999999999998
48,1000002748,1280.0,1349.0000000000005,1393.5,1427.5000000000002,1504.0000000000007,1578.0000000000005,1620.0,1635.9999999999995,1643.0000000000002,1648.9999999999995,1643.9999999999995,245.0,266.0,294.0,324.49999999999994,362.50000000000034,409.00000000000017,446.9999999999998,473.5000000000001,499.4999999999999,506.4999999999999,505.9999999999999
49,1000002749,1285.0000000000002,1337.5000000000002,1386.0,1439.5,1503.5000000000005,1574.0,1641.4999999999995,1667.499999999999,1672.5,1678.4999999999993,1676.0000000000005,277.5000000000001,312.50000000000017,364.99999999999994,423.0000000000001,446.99999999999994,489.0000000000001,535.0,541.9999999999998,566.9999999999999,589.9999999999999,589.9999999999999
50,1000002750,1332.916666666667,1400.8333333333337,1455.6666666666663,1518.3333333333335,1596.6666666666658,1664.9999999999993,1695.8333333333326,1712.833333333333,1724.916666666667,1675.6666666666672,1692.6666666666663,294.1666666666668,329.58333333333337,355.75,399.08333333333337,460.4999999999997,507.83333333333326,535.9999999999998,571.6666666666667,613.3333333333331,659.7499999999999,640.75
51,1000002753,1299.1666666666672,1343.3333333333335,1409.5833333333335,1485.8333333333333,1567.499999999999,1628.3333333333328,1653.7499999999993,1673.999999999999,1682.8333333333337,1686.666666666667,1695.8333333333333,295.8333333333335,327.2500000000001,361.6666666666667,412.0833333333334,481.6666666666663,526.6666666666665,520.4166666666664,536.8333333333334,560.6666666666669,584.9999999999998,568.5000000000002
52,1000002754,1345.0000000000005,1393.333333333334,1433.3333333333335,1473.3333333333337,1524.999999999999,1590.8333333333326,1637.4999999999995,1663.4166666666656,1671.25,1676.4166666666674,1683.3333333333335,250.00000000000009,273.3333333333333,313.33333333333337,353.33333333333337,399.1666666666664,466.6666666666665,546.6666666666665,618.5000000000002,632.5833333333339,644.5833333333334,671.6666666666666
53,1000002755,1275.0000000000005,1329.75,1387.166666666667,1440.4166666666665,1504.916666666666,1573.7499999999998,1617.4999999999995,1633.4999999999993,1638.3333333333335,1645.8333333333335,1644.1666666666667,263.33333333333354,306.25000000000006,343.0833333333334,382.25000000000006,436.5833333333332,514.5,570.0833333333331,593.4999999999998,608.0000000000001,622.9166666666667,630.0
54,1000002757,1367.9166666666672,1407.8333333333337,1436.2499999999998,1504.8333333333335,1570.8333333333326,1630.833333333333,1680.416666666666,1708.4166666666658,1726.1666666666674,1730.833333333334,1731.75,417.58333333333354,432.91666666666674,504.16666666666686,604.8333333333334,717.4999999999993,814.9166666666663,902.4166666666667,881.3333333333319,841.5000000000002,841.0833333333335,827.9166666666667
